Year,Quarter,Region,Employed,Employed Male,Employed Female,Saudi Employed,Saudi Employed Male,Saudi Employed Female,Non-Saudi Employed,Non-Saudi Employed Male,Non-Saudi Employed Female
2015,2,Al Jouf,195452,152990,42462,105892,76942,28950,89560,,
2015,1,Ar Riyad ,3195285,2663608,531677,1289317,979227,310090,1905968,,
2015,1,Makkah,3097949,2652839,445110,1322733,1042541,280192,1775216,,
2015,1,Madinah,663114,573172,89942,325239,263001,62238,337875,,
2015,1,Al Qaseem,546035,460413,85622,270248,215591,54657,275787,,
2015,1,Eastern,1894774,1609363,285411,884487,696560,187927,1010287,,
2015,1,Aseer,737971,629368,108603,423686,358038,65648,314285,,
2015,1,Tabouk,335404,267027,68377,208718,156741,51977,126686,,
2015,1,Hail,252006,210208,41798,144217,116777,27440,107789,,
2015,1,Northern,136774,105331,31443,83399,59282,24117,53375,,
2015,1,Jazan,500840,414391,86449,321455,258090,63365,179385,,
2015,1,Najran,182385,158630,23755,98744,84455,14289,83641,,
2015,1,Al Baha,174220,129802,44418,113428,76892,36536,60792,,
2015,1,Al Jouf,195452,152990,42462,105892,76942,28950,89560,,
2014,4,Ar Riyad ,3192362,2639895,552467,1336337,995314,341023,1856025,,
2014,4,Makkah,3015153,2575513,439640,1292234,1008188,284046,1722919,,
2014,4,Madinah,659618,548198,111420,329150,251369,77781,330468,,
2014,4,Al Qaseem,544951,454674,90277,274251,213615,60636,270700,,
2014,4,Eastern,1851626,1583917,267709,857394,697426,159968,994232,,
2014,4,Aseer,750521,640483,110038,438062,367592,70470,312459,,
2014,4,Tabouk,284748,241497,43251,165113,133108,32005,119635,,
2014,4,Hail,258256,215062,43194,156046,124844,31202,102210,,
2014,4,Northern,131001,101681,29320,79551,56722,22829,51450,,
2014,4,Jazan,513980,440427,73553,339568,285132,54436,174412,,
2014,4,Najran,183417,157298,26119,104044,83413,20631,79373,,
2014,4,Al Baha,172185,135686,36499,110640,82278,28362,61545,,
2014,4,Al Jouf,181485,155460,26025,95099,80346,14753,86386,,
2014,3,Ar Riyad ,3192362,2639895,552467,1336337,995314,341023,1856025,,
2014,3,Makkah,3015153,2575513,439640,1292234,1008188,284046,1722919,,
2014,3,Madinah,659618,548198,111420,329150,251369,77781,330468,,
2014,3,Al Qaseem,544951,454674,90277,274251,213615,60636,270700,,
2014,3,Eastern,1851626,1583917,267709,857394,697426,159968,994232,,
2014,3,Aseer,750521,640483,110038,438062,367592,70470,312459,,
2014,3,Tabouk,284748,241497,43251,165113,133108,32005,119635,,
2014,3,Hail,258256,215062,43194,156046,124844,31202,102210,,
2014,3,Northern,131001,101681,29320,79551,56722,22829,51450,,
2014,3,Jazan,513980,440427,73553,339568,285132,54436,174412,,
2014,3,Najran,183417,157298,26119,104044,83413,20631,79373,,
2014,3,Al Baha,172185,135686,36499,110640,82278,28362,61545,,
2014,3,Al Jouf,181485,155460,26025,95099,80346,14753,86386,,
2014,2,Ar Riyad ,3156543,2631121,525422,1323901,1005919,317982,1832642,,
2014,2,Makkah,2923586,2515722,407864,1244975,984257,260718,1678611,,
2014,2,Madinah,665772,563234,102538,341736,267545,74191,324036,,
2014,2,Al Qaseem,543323,450261,93062,278417,212845,65572,264906,,
2014,2,Eastern,1857888,1558912,298976,859779,680309,179470,998109,,
2014,2,Aseer,737268,619938,117330,429553,352419,77134,307715,,
2014,2,Tabouk,306710,256790,49920,189617,151416,38201,117093,,
2014,2,Hail,248922,205201,43721,144885,116260,28625,104037,,
2014,2,Northern,130015,98450,31565,79484,54977,24507,50531,,
2014,2,Jazan,459929,398305,61624,301508,254044,47464,158421,,
2014,2,Najran,205220,174965,30255,126194,102569,23625,79026,,
2014,2,Al Baha,177816,139206,38610,118628,88164,30464,59188,,
2014,2,Al Jouf,187432,154709,32723,107084,82068,25016,80348,,
2014,1,Ar Riyad ,3156543,2631121,525422,1323901,1005919,317982,1832642,,
2014,1,Makkah,2923586,2515722,407864,1244975,984257,260718,1678611,,
2014,1,Madinah,665772,563234,102538,341736,267545,74191,324036,,
2014,1,Al Qaseem,543323,450261,93062,278417,212845,65572,264906,,
2014,1,Eastern,1857888,1558912,298976,859779,680309,179470,998109,,
2014,1,Aseer,737268,619938,117330,429553,352419,77134,307715,,
2014,1,Tabouk,306710,256790,49920,189617,151416,38201,117093,,
2014,1,Hail,248922,205201,43721,144885,116260,28625,104037,,
2014,1,Northern,130015,98450,31565,79484,54977,24507,50531,,
2014,1,Jazan,459929,398305,61624,301508,254044,47464,158421,,
2014,1,Najran,205220,174965,30255,126194,102569,23625,79026,,
2014,1,Al Baha,177816,139206,38610,118628,88164,30464,59188,,
2014,1,Al Jouf,187432,154709,32723,107084,82068,25016,80348,,
